Timestamp,exp_inlet,exp_outlet,exp_heatgen,heatgen_m1,heatgen_m2,heatgen_m3,heatgen_m4,heatgen_m5,heatgen_m6
42046.56331,60.33205467,66.83074553,64.35910211,10.87236613,9.586390249,5.29639059,12.15829781,17.20459359,9.241063744
42046.56343,60.36134061,66.94261161,64.74496752,10.47832241,9.847443452,5.156826843,11.71648534,17.56773533,9.978154142
42046.56355,60.37566778,66.84582615,63.62039108,11.18152356,9.181493352,5.32115701,11.91034628,17.32197152,8.703899362
42046.56366,60.38048764,66.86093831,64.19819818,10.82717776,9.8064433,5.294131076,12.25244115,17.00055192,9.017452974
42046.56378,60.38732513,66.87425663,63.2238572,10.70284668,9.840546797,5.386649603,12.10541157,16.76415945,8.424243116
42046.56389,60.39705563,66.96638317,64.51372531,10.93986902,9.807365361,5.310228583,11.89754508,17.19537059,9.363346682
42046.56401,60.38945908,67.03561811,64.95368382,11.53548192,9.520235975,5.509137773,12.28288956,16.75764438,9.348294207
42046.56413,60.39636895,67.01474365,64.34608407,11.05338329,9.011606209,5.410308456,11.89281772,17.85825997,9.119708426
42046.56424,60.42301693,67.04156038,63.9160748,10.9724,8.931700716,5.275398026,12.06380355,17.21616457,9.456607933
42046.56436,60.45764982,67.1448735,64.1758724,10.92587659,8.919030465,5.626270565,11.74446615,16.76534254,10.19488609
42046.56447,60.44266925,67.04101656,64.28164336,11.06537297,9.459020481,5.409621568,11.81811203,17.44822886,9.081287448
42046.56459,60.45011642,67.10734692,64.78643131,11.26694592,9.384085577,5.280959469,12.02838969,17.24176587,9.584284792
42046.5647,60.47636714,67.19759142,65.09284191,11.10271106,9.80364186,5.095263446,12.13979259,16.78400855,10.1674244
42046.56482,60.47879278,67.18724725,64.4029435,10.89041715,9.522329467,5.416571767,12.00807701,17.08368347,9.481864641
42046.56494,60.51090339,67.11829232,65.54341821,10.76042074,10.15872755,5.547857704,12.05371026,17.80099561,9.221706346
42046.56505,60.52622699,67.26772625,65.10054036,11.00987162,9.2911929,5.281528235,11.95612832,17.09106111,10.47075817
42046.56517,60.53955548,67.08865956,65.99341005,11.12458136,9.960610624,5.942010876,12.04688014,17.56528918,9.354037865
42046.56528,60.55422667,67.15458464,63.9536768,11.07728333,9.392186014,5.329000122,11.88651174,16.6105757,9.658119899
42046.5654,60.56836886,67.14675139,64.88598741,11.15311611,9.116758139,5.482739797,11.96384196,17.6102303,9.559301096
42046.56551,60.60094141,67.18933525,64.62479868,10.84778888,9.477841715,5.374733997,11.76281471,17.5314011,9.630218272
42046.56563,60.62026751,67.26102438,64.7912836,11.15820038,9.099215183,4.879823107,11.92952597,17.60372808,10.12079088
42046.56574,60.64934662,67.23607483,65.47105205,11.04966036,9.538153343,5.670026238,12.19622439,16.98922327,10.02776445
42046.56586,60.64937,67.08627915,62.91316122,10.4539935,9.561966816,5.205249331,11.76603082,16.97861048,8.947310269
42046.56598,60.68128689,67.2453327,65.75331105,10.91321114,9.70030619,5.438062379,12.45525507,17.65971716,9.586759124
42046.56609,60.70103516,67.11880639,63.23865588,10.09833018,9.719193428,5.425743242,12.28428678,16.88123839,8.829863855
42046.56621,60.75098274,67.30548353,64.98094723,10.82249065,9.60469009,5.387895005,12.06068183,17.37357014,9.731619516
42046.56632,60.77084604,67.33269714,65.3238044,10.82562775,10.08672383,5.142487418,11.61631016,17.61873483,10.03392042
42046.56644,60.78868369,67.38073047,65.30545218,10.78235964,10.40448461,5.046658847,12.11735745,16.97040666,9.984184969
42046.56656,60.80110264,67.36199777,65.7492212,11.21898546,9.947031067,5.446803008,11.94248723,17.4457002,9.748214225
42046.56667,60.82861293,67.29607215,65.33783106,11.1883551,10.03453569,5.359889808,12.1176867,17.55503414,9.082329617
42046.56679,60.85431413,67.47780445,66.09435975,11.0963132,10.10562616,5.259478827,12.44251002,17.3062828,9.884148743
42046.5669,60.88231529,67.47910239,66.41597437,11.18157855,9.56873631,5.366735803,12.43124384,17.88860697,9.979072897
42046.56702,60.90810686,67.44886053,66.07837002,11.05525854,10.38511255,5.493261348,12.21254668,17.53394599,9.39824492
42046.56713,60.92111844,67.4157167,64.12788459,10.91679843,9.430091836,5.303328949,12.27769008,17.46737239,8.732602903
42046.56725,60.94094215,67.29867759,62.82270034,11.07060184,9.71650933,5.328540422,12.05175718,16.42697469,8.228316876
42046.56737,60.93218514,67.62225045,65.52377074,10.68725545,9.874768845,5.435965675,12.29349083,17.11019098,10.12209896
42046.56748,60.95874059,67.56500569,65.98093187,11.19114228,9.775598884,5.238567787,12.28679853,17.99209384,9.496730562
42046.5676,60.96310073,67.53532048,64.89848058,11.18654698,9.833634519,5.469844701,12.16561711,16.84465039,9.398186869
42046.56771,60.96740707,67.58776238,66.14104392,11.31078927,10.17541401,5.732588861,12.19221509,17.27840591,9.451630763
42046.56783,60.95865747,67.62560617,66.37955436,11.18886397,9.719977879,5.390655074,12.41772687,17.80497019,9.857360372
42046.56794,60.97215502,67.67468049,65.10975233,10.57674284,9.927164026,4.972322237,12.06939239,17.64009641,9.924034414
42046.56806,60.96720864,67.60906104,63.86489841,10.67283511,9.667219425,5.482952467,11.54403659,17.40446281,9.093391997
42046.56818,60.97821053,67.70826609,64.62533649,10.16568543,9.886414037,5.397693015,11.9017374,17.56042695,9.71337965
42046.56829,60.98239853,67.69341262,64.83897381,11.4603246,9.597980097,5.481162764,11.89858606,16.727934,9.672986281
42046.56841,60.97561044,67.7806835,65.57130147,10.96248452,9.417315651,5.597621011,11.81053997,17.63771147,10.14562885
42046.56852,60.97154128,67.82140547,65.40486216,10.83778953,9.669713056,5.50954366,11.83586367,17.34079974,10.21115251
42046.56864,60.97822209,67.83210327,64.24393119,10.90800353,9.266319078,5.085410833,11.41339584,17.34495675,10.22584516
42046.56875,60.98712746,67.77605551,65.49345541,11.34830364,10.06618832,5.34647398,11.92461748,16.65092081,10.15695118
42046.56887,60.9669746,67.69906781,64.40510737,11.18865184,9.856073182,5.312332511,11.74158984,17.030287,9.276172993
42046.56899,60.97763484,67.94481612,66.3355942,10.73122929,9.707895118,5.580809764,11.67690442,17.84235932,10.79639629
42046.5691,60.99963477,67.92893077,64.97123978,10.76861718,9.699870739,5.450652288,11.67935908,17.24038258,10.13235793
42046.56922,61.00154914,68.05219851,67.3919244,11.36098048,9.513102608,5.154972869,12.15204568,17.77554089,11.43528188
42046.56933,60.99334366,67.88413985,66.10689677,10.72023899,9.944632466,5.27295507,12.0015137,18.16334193,10.0042146
42046.56945,61.01651089,68.0646667,66.62626391,10.76288101,9.872372644,6.014442316,11.73961578,17.34943825,10.88751391
42046.56956,61.0108507,67.89198342,64.92859897,10.99145571,9.615671234,5.936971833,11.53672099,17.10351278,9.744266421
42046.56968,61.00890259,67.81637203,64.85219086,11.01254061,9.835058643,4.959135264,12.07679593,17.71183278,9.256827627
42046.5698,61.01816433,67.95772261,66.31968674,10.79273079,9.94085497,5.302361399,12.25411047,17.88011223,10.14951689
42046.56991,61.01679024,67.96351635,66.27048607,11.70844445,9.851346821,5.5576526,12.11375692,17.23273117,9.806554099
42046.57003,61.03113606,68.02597289,66.2299182,11.50276427,9.412071654,5.954454409,11.83603978,16.82534833,10.69923976
42046.57014,61.05148601,67.97418394,65.91828698,11.23723949,9.873063297,5.706503543,12.06087541,17.25859178,9.782013456
42046.57026,61.04205191,67.82392907,64.6193858,10.95522029,9.238591593,5.754402563,12.11020335,17.38688034,9.174087654
42046.57037,61.05437899,67.93296123,66.36302665,10.95801602,9.802746796,5.528890094,12.34712338,17.73851782,9.987732541
42046.57049,61.06165133,68.0190342,67.24181109,11.20026692,9.581679071,5.475041874,11.92034365,18.56567546,10.49880411
42046.57061,61.09984074,68.01594824,66.39532551,11.24315229,9.442086924,6.083594696,11.83735912,17.49835881,10.29077366
42046.57072,61.10601791,68.03823418,65.88093853,10.72279229,9.474793386,5.575966048,11.68652381,17.77100146,10.64986154
42046.57084,61.11339167,68.0679835,65.91269444,10.6841883,9.259585705,5.789274362,12.15910344,17.04599778,10.97454485
42046.57095,61.14776056,68.0060049,66.7586946,10.98638524,9.593324609,5.656100857,12.56531436,17.67829005,10.27927947
42046.57107,61.16327654,68.10993187,67.86805526,10.79739003,10.09588684,5.85585269,11.91033904,18.09360475,11.11498192
42046.57118,61.17196995,67.92089968,65.64631588,10.81999868,9.621126755,5.630397784,12.40230945,17.6343128,9.538170403
